Date,Close,High,Low,Open,Volume,Daily_Return,Cumulative_Return,Volatility_5d,MA_50d,MA_20d,Volume_Change,Volume_MA_5d
2024-08-06,104.22431182861328,107.68345833707174,100.52522659409519,103.8144091952266,409012100,,,,,,,
2024-08-07,98.88563537597656,108.77319818362058,98.6656883565928,107.78343659639361,411440400,-5.122294749631595,-5.122294749631595,,,,0.5936988172232649,
2024-08-08,104.94413757324219,105.47400576569116,97.49596860854,101.97486813365401,391910000,6.126776830861602,0.6906505133011276,,,,-4.746835750694389,
2024-08-09,104.72418975830078,106.57373239559361,103.40451530940655,105.6139698534446,290844200,-0.2095856138585206,0.47961739532469405,,,,-25.788012553902682,
2024-08-12,108.9931411743164,111.04263923804827,106.23382655143305,106.29380933051287,325559900,4.0763756930162875,4.575544095263484,,,,11.936184390130533,365753320.0
2024-08-13,116.11138153076172,116.20136332032301,111.55250759337807,112.41229629244809,312646700,6.530906697202954,11.405275308217465,4.926633447520452,,,-3.9664590141476275,346480240.0
2024-08-14,118.05091094970703,118.57077948335262,114.04189674110647,118.5007970340635,339246400,1.6704042216838744,13.266193730144483,2.890952955556275,,,8.507910046707678,332041440.0
2024-08-15,122.8297348022461,123.2096384456698,117.44106320591041,118.73074633761901,318086700,4.048104173101197,17.85132724524734,2.5760673052215766,,,-6.237265892873145,317276780.0
2024-08-16,124.54930114746094,124.9691958147952,121.15013749579563,121.90995234205361,302589900,1.3999593404506738,19.501197908862267,2.095615744309094,,,-4.8718792706516805,319625920.0
2024-08-19,129.96795654296875,129.96795654296875,123.38957660426745,124.24936523467589,318333600,4.350610838909774,24.70022997771224,2.11647979085975,,,5.202982650775856,318180660.0
2024-08-20,127.2186508178711,129.8480077753235,125.85898525590325,128.36836140301475,300087400,-2.1153719718511543,22.062356263929782,2.60007363480274,,,-5.731785774420295,315668800.0
2024-08-21,128.4683380126953,129.31813467743694,126.62879504399294,127.288628455805,257883600,0.9823144537299822,23.261392432073748,2.63134972325102,,,-14.063836069091874,299396240.0
2024-08-22,123.70951080322266,130.717785815134,123.06966909662319,129.98796994394152,376189100,-3.7042802009335407,18.695445076817442,3.1576230852324496,,,45.87554229892867,311016720.0
2024-08-23,129.33811950683594,129.56807382051312,125.18914813175064,125.82898983127045,323230300,4.549859317256844,24.095920843804496,3.7245354579629937,,,-14.077707195663036,315144800.0
2024-08-26,126.42884063720703,131.22765338990934,124.33935925298674,129.53808260280766,331964700,-2.249359184068811,21.304557851249626,3.3028457287125503,,,2.702221914220293,317871020.0
2024-08-27,128.26840209960938,129.1681743229575,123.84948497148315,125.01920259136338,303134600,1.455017267524461,23.06956011427952,3.253878435172357,,,-8.684688462357592,318480460.0
2024-08-28,125.57905578613281,128.29838691719942,122.60978624415954,128.0884319398247,448101100,-2.0966553488271367,20.48921559936545,3.360015631380325,,,47.82248545695542,356523960.0
