Date,Close,High,Low,Open,Volume,Daily_Return,Cumulative_Return,Volatility_5d,MA_5d,Volume_Change,Volume_MA_5d
2025-03-17,388.70001220703125,392.7099914550781,385.57000732421875,386.70001220703125,22474300,,,,,,
2025-03-18,383.5199890136719,387.3699951171875,381.1000061035156,387.07000732421875,19486900,-1.3326532108777878,-1.3326532108777878,,,-13.29251634088715,
2025-03-19,387.82000732421875,389.67999267578125,384.0,385.5299987792969,19185500,1.1211979645716852,-0.2263969269812649,,,-1.5466800773853207,
2025-03-20,386.8399963378906,391.7900085449219,383.2799987792969,385.739990234375,18470500,-0.25269737708730755,-0.47852220497228704,,,-3.7267728232258768,
2025-03-21,391.260009765625,391.739990234375,382.79998779296875,383.2200012207031,39675900,1.142594734147817,0.658604959659792,,387.6280029296875,114.80685417287026,23858620.0
2025-03-24,393.0799865722656,395.3999938964844,389.80999755859375,395.3999938964844,21004500,0.4651578902047371,1.1268264027996633,1.0436996475869704,388.5039978027344,-47.059802046078346,23564660.0
