Date,Close,High,Low,Open,Volume,Daily_Return,Cumulative_Return,Volatility_5d,MA_5d,Volume_Change,Volume_MA_5d
2025-02-25,397.8999938964844,401.9200134277344,396.70001220703125,401.1000061035156,29387400,,,,,,
2025-02-26,399.7300109863281,403.6000061035156,394.25,398.010009765625,19619000,0.45991885345939565,0.45991885345939565,,,-33.2400960956056,
2025-02-27,392.5299987792969,405.739990234375,392.1700134277344,401.2699890136719,21127400,-1.8012188249927341,-1.3495841165015343,,,7.6884652632652095,
2025-02-28,396.989990234375,397.6300048828125,386.57000732421875,392.6600036621094,32845700,1.1362167143780022,-0.22870160242981497,,,55.464941261111164,
2025-03-03,388.489990234375,398.82000732421875,386.1600036621094,398.82000732421875,23007700,-2.1411119194672312,-2.3649167646274116,,395.12799682617185,-29.95217029930859,25197440.0
2025-03-04,388.6099853515625,392.5799865722656,381.0,383.3999938964844,29342900,0.03088756987408292,-2.3347596600714615,1.4370183941230061,393.2699951171875,27.535129543587587,25188540.0
2025-03-05,401.0199890136719,401.6700134277344,388.80999755859375,389.3399963378906,23433100,3.193434067547818,0.7841153970962633,2.195662405426044,393.5279907226562,-20.14047691264327,25951360.0
2025-03-06,396.8900146484375,402.1499938964844,392.67999267578125,394.2799987792969,23304600,-1.0298674575779265,-0.25382740978621143,2.0525557683506697,394.3999938964844,-0.5483696139221839,26386800.0
2025-03-07,393.30999755859375,394.79998779296875,385.5400085449219,392.32000732421875,22034100,-0.9020174249067203,-1.1535552672274685,2.0318432484734,393.66399536132815,-5.451713395638624,24224480.0
2025-03-10,380.1600036621094,386.3999938964844,377.2200012207031,385.8399963378906,32840100,-3.3434171462995543,-4.458404248930503,2.366979705330214,391.997998046875,49.042166460168545,26190960.0
2025-03-11,380.45001220703125,386.0,376.9100036621094,379.0,30380200,0.07628591701605014,-4.385519466480037,2.3691807363977855,390.3660034179687,-7.490537483137993,26398420.0
2025-03-12,383.2699890136719,385.2200012207031,378.95001220703125,382.95001220703125,24253600,0.7412213736784024,-3.6768045004340166,1.5518974281285294,386.8160034179688,-20.166424184172584,26562520.0
2025-03-13,378.7699890136719,385.32000732421875,377.45001220703125,383.1600036621094,20473000,-1.1741070600337244,-4.807741939244503,1.5564451234340726,383.19199829101564,-15.587789029257515,25996200.0
2025-03-14,388.55999755859375,390.2300109863281,379.510009765625,379.7799987792969,19952800,2.5846843279256015,-2.3473225637496653,2.2104294824368846,382.24199829101565,-2.540907536755732,25579940.0
2025-03-17,388.70001220703125,392.7099914550781,385.57000732421875,386.70001220703125,22474300,0.03603424164022595,-2.3121341619941393,1.3775341019046181,383.95,12.637324084840218,23506780.0
2025-03-18,383.5199890136719,387.3699951171875,381.1000061035156,387.07000732421875,19486900,-1.3326532108777878,-3.6139746427223063,1.5999629824532033,384.5639953613281,-13.29251634088715,21328120.0
2025-03-19,387.82000732421875,389.67999267578125,384.0,385.5299987792969,19185500,1.1211979645716852,-2.533296488284964,1.6422808976634542,385.4739990234375,-1.5466800773853207,20314500.0
2025-03-20,386.8399963378906,391.7900085449219,383.2799987792969,385.739990234375,18470500,-0.25269737708730755,-2.7795922915925253,1.487333320591426,387.08800048828124,-3.7267728232258768,19914000.0
2025-03-21,391.260009765625,391.739990234375,382.79998779296875,383.2200012207031,39675900,1.142594734147817,-1.6687570325992218,1.0370187223546223,387.6280029296875,114.80685417287026,23858620.0
2025-03-24,393.0799865722656,395.3999938964844,389.80999755859375,395.3999938964844,21004500,0.4651578902047371,-1.2113614973999653,1.0436996475869704,388.5039978027344,-47.059802046078346,23564660.0
